cif_id,model,n_atoms,n_local_subs,n_local_vacs,n_local_all,coord_mae_global_A,coord_mae_local_subs_A,coord_mae_local_vacs_A,coord_mae_local_all_A,notes
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,DPA3,135,4,9,13,0.430323,0.539485,0.256282,0.343421,picked=last-unconverged:P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc_unrelaxed
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,DPA3,135,4,8,12,0.231906,0.399572,0.674169,0.582637,picked=last-unconverged:P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62_unrelaxed
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,DPA3,135,4,8,12,0.406164,0.401344,0.755571,0.637496,picked=last-unconverged:P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4_unrelaxed
P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf,DPA3,135,4,9,13,0.267239,0.191670,0.211916,0.205687,picked=last-unconverged:P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf_unrelaxed
P_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170,DPA3,135,4,8,12,0.477874,0.316707,0.381521,0.359916,picked=last-unconverged:P_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170_unrelaxed
P_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5,DPA3,135,4,9,13,0.351874,0.279136,0.762467,0.613750,picked=last-unconverged:P_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5_unrelaxed
P_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb,DPA3,135,4,9,13,0.375679,0.456973,0.208768,0.285139,picked=converged:P_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb_unrelaxed
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,DPA3,135,4,8,12,0.292897,0.275849,0.238331,0.250837,picked=converged:P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39_unrelaxed
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,DPA3,135,4,9,13,0.260752,0.189357,0.158723,0.168149,picked=converged:P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d_unrelaxed
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,DPA3,135,4,8,12,0.332752,0.394524,0.288862,0.324082,picked=converged:P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d_unrelaxed
P_P130N6_ad4e8262-bfb5-49be-8679-a28ee4287eef,DPA3,136,4,7,11,0.198650,0.196574,0.380354,0.313525,picked=converged:P_P130N6_ad4e8262-bfb5-49be-8679-a28ee4287eef_unrelaxed
P_P130N6_ee74078f-bc7a-4330-a46a-c9964d4dabd2,DPA3,136,4,8,12,0.203315,0.205053,0.194328,0.197903,picked=converged:P_P130N6_ee74078f-bc7a-4330-a46a-c9964d4dabd2_unrelaxed
P_P130N7_2dd91df6-6100-4305-adb3-79179704cffe,DPA3,137,4,7,11,0.432622,0.438126,0.286225,0.341462,picked=last-unconverged:P_P130N7_2dd91df6-6100-4305-adb3-79179704cffe_unrelaxed
P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988,DPA3,137,4,7,11,0.405701,0.592663,0.274868,0.390430,picked=last-unconverged:P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988_unrelaxed
P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c,DPA3,138,4,6,10,0.420294,0.613538,0.409929,0.491372,picked=last-unconverged:P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c_unrelaxed
P_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2,DPA3,139,4,5,9,0.216434,0.262023,0.082727,0.162414,picked=converged:P_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2_unrelaxed
P_P134N2_7d818b15-98d7-46a0-8001-037c616cfa2c,DPA3,136,2,6,8,0.439278,0.178145,0.605662,0.498783,picked=last-unconverged:P_P134N2_7d818b15-98d7-46a0-8001-037c616cfa2c_unrelaxed
P_P134N3_0bbe3973-1534-431a-8cd6-f17dd0ee3b7a,DPA3,137,3,7,10,0.392709,0.204596,0.129763,0.152213,picked=last-unconverged:P_P134N3_0bbe3973-1534-431a-8cd6-f17dd0ee3b7a_unrelaxed
P_P134N3_bdc16de1-0e53-494f-a5e7-3c84bce2ac04,DPA3,137,3,7,10,0.268169,0.225785,0.292474,0.272467,picked=converged:P_P134N3_bdc16de1-0e53-494f-a5e7-3c84bce2ac04_unrelaxed
P_P134N3_dda7d839-bc4d-48cb-a66f-1ba5db069526,DPA3,137,3,7,10,0.290190,0.376871,0.211203,0.260903,picked=converged:P_P134N3_dda7d839-bc4d-48cb-a66f-1ba5db069526_unrelaxed
P_P134N4_6e5f359b-6e75-4487-8517-24b248721bf2,DPA3,138,4,6,10,0.135988,0.086502,0.137488,0.117094,picked=converged:P_P134N4_6e5f359b-6e75-4487-8517-24b248721bf2_unrelaxed
P_P134N4_767a10da-c92d-4725-90de-c0a8f0de82ce,DPA3,138,4,6,10,0.299410,0.219745,0.491969,0.383080,picked=converged:P_P134N4_767a10da-c92d-4725-90de-c0a8f0de82ce_unrelaxed
P_P134N5_2fb2dac9-625b-4a58-8d71-1ab73a779346,DPA3,139,4,5,9,0.227493,0.258357,0.111050,0.176520,picked=last-unconverged:P_P134N5_2fb2dac9-625b-4a58-8d71-1ab73a779346_unrelaxed
P_P134N6_830832b7-0dd2-4f20-b337-b06a84de9d62,DPA3,140,4,4,8,0.304919,0.198701,0.235470,0.217086,picked=converged:P_P134N6_830832b7-0dd2-4f20-b337-b06a84de9d62_unrelaxed
P_P134N7_618fa7fd-b549-4eda-a5a2-2091f6fae7ba,DPA3,141,4,3,7,0.135975,0.141827,0.123086,0.133795,picked=converged:P_P134N7_618fa7fd-b549-4eda-a5a2-2091f6fae7ba_unrelaxed
P_P134N7_e6d8503d-2d3e-4f27-a8a3-d4c9252f50ee,DPA3,141,4,3,7,0.154582,0.102656,0.223009,0.154236,picked=converged:P_P134N7_e6d8503d-2d3e-4f27-a8a3-d4c9252f50ee_unrelaxed
P_P134N8_1940fe06-4315-4639-b6ea-12f7b20b6692,DPA3,142,4,2,6,0.277932,0.164337,0.350935,0.226536,picked=last-unconverged:P_P134N8_1940fe06-4315-4639-b6ea-12f7b20b6692_unrelaxed
P_P134N8_77084258-796b-405c-8b5a-17d19cee3337,DPA3,142,4,2,6,0.241863,0.170699,0.230729,0.190709,picked=converged:P_P134N8_77084258-796b-405c-8b5a-17d19cee3337_unrelaxed
P_P134N9_c82f4875-98fb-49f1-ab04-283575a00f39,DPA3,143,4,1,5,0.146576,0.152439,0.105470,0.143045,picked=converged:P_P134N9_c82f4875-98fb-49f1-ab04-283575a00f39_unrelaxed
P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346,DPA3,138,1,5,6,0.305016,0.186584,0.720534,0.631542,picked=converged:P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346_unrelaxed
P_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4,DPA3,139,2,5,7,0.268013,0.233830,0.301125,0.281898,picked=last-unconverged:P_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4_unrelaxed
P_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792,DPA3,139,2,5,7,0.119861,0.094667,0.207804,0.175480,picked=last-unconverged:P_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792_unrelaxed
P_P137N2_57c8cd82-a352-42c5-bdff-8d5b28abd541,DPA3,139,2,5,7,0.080657,0.051446,0.054446,0.053589,picked=converged:P_P137N2_57c8cd82-a352-42c5-bdff-8d5b28abd541_unrelaxed
P_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c,DPA3,140,3,3,6,0.350548,0.289419,0.915004,0.602212,picked=last-unconverged:P_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c_unrelaxed
P_P137N4_06c3f239-33bb-44df-8e03-5bd0614c77df,DPA3,141,4,3,7,0.099683,0.045410,0.097661,0.067803,picked=converged:P_P137N4_06c3f239-33bb-44df-8e03-5bd0614c77df_unrelaxed
P_P137N4_45d7c27d-f7cb-443f-93fd-622d98716a8c,DPA3,141,4,3,7,0.153408,0.110358,0.457009,0.258923,picked=converged:P_P137N4_45d7c27d-f7cb-443f-93fd-622d98716a8c_unrelaxed
P_P137N4_605910e6-9b1a-48a5-9eea-ecc820799a67,DPA3,141,4,3,7,0.272204,0.148887,0.170902,0.158322,picked=converged:P_P137N4_605910e6-9b1a-48a5-9eea-ecc820799a67_unrelaxed
P_P137N4_eb6b3e67-dea4-41f9-b13e-79dfa9f5300a,DPA3,141,4,3,7,0.115487,0.095096,0.089067,0.092512,picked=converged:P_P137N4_eb6b3e67-dea4-41f9-b13e-79dfa9f5300a_unrelaxed
P_P137N5_0358e850-b83f-49ba-84d0-83a60cfc53c0,DPA3,142,4,2,6,0.098085,0.190517,0.090175,0.157070,picked=converged:P_P137N5_0358e850-b83f-49ba-84d0-83a60cfc53c0_unrelaxed
P_P137N6_539a3b77-1177-49f8-920e-888a9e3efee1,DPA3,143,4,1,5,0.033823,0.034262,0.032597,0.033929,picked=converged:P_P137N6_539a3b77-1177-49f8-920e-888a9e3efee1_unrelaxed
P_P141N1_801ae4a4-5b4a-4480-bf01-dbe9c0f9df3b,DPA3,142,1,2,3,0.066541,0.099135,0.049344,0.065941,picked=converged:P_P141N1_801ae4a4-5b4a-4480-bf01-dbe9c0f9df3b_unrelaxed
P_P141N1_aad91e07-a830-46a9-b029-f4631bbc21aa,DPA3,142,1,2,3,0.023671,0.007828,0.026797,0.020474,picked=converged:P_P141N1_aad91e07-a830-46a9-b029-f4631bbc21aa_unrelaxed
