cif_id,model,n_atoms,n_local_subs,n_local_vacs,n_local_all,coord_mae_global_A,coord_mae_local_subs_A,coord_mae_local_vacs_A,coord_mae_local_all_A,notes
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,DPA3,135,4,9,13,0.443366,0.592775,0.545921,0.560338,picked=last-unconverged:P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc_unrelaxed
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,DPA3,135,4,8,12,0.262399,0.445288,0.525427,0.498714,picked=last-unconverged:P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62_unrelaxed
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,DPA3,135,4,8,12,0.461389,0.452604,0.661910,0.592142,picked=last-unconverged:P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4_unrelaxed
P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf,DPA3,135,4,9,13,0.223823,0.124212,0.186122,0.167073,picked=last-unconverged:P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf_unrelaxed
P_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170,DPA3,135,4,8,12,0.547662,0.350557,0.421420,0.397799,picked=last-unconverged:P_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170_unrelaxed
P_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5,DPA3,135,4,9,13,0.287571,0.200096,0.513910,0.417352,picked=last-unconverged:P_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5_unrelaxed
P_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb,DPA3,135,4,9,13,0.373081,0.439374,0.210642,0.281021,picked=converged:P_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb_unrelaxed
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,DPA3,135,4,8,12,0.328263,0.296226,0.233292,0.254270,picked=converged:P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39_unrelaxed
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,DPA3,135,4,9,13,0.263377,0.200678,0.161021,0.173223,picked=converged:P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d_unrelaxed
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,DPA3,135,4,8,12,0.273132,0.194160,0.281278,0.252239,picked=converged:P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d_unrelaxed
P_P130N6_ad4e8262-bfb5-49be-8679-a28ee4287eef,DPA3,136,4,7,11,0.149446,0.165553,0.232597,0.208217,picked=converged:P_P130N6_ad4e8262-bfb5-49be-8679-a28ee4287eef_unrelaxed
P_P130N6_ee74078f-bc7a-4330-a46a-c9964d4dabd2,DPA3,136,4,8,12,0.199595,0.167818,0.172279,0.170792,picked=converged:P_P130N6_ee74078f-bc7a-4330-a46a-c9964d4dabd2_unrelaxed
P_P130N7_2dd91df6-6100-4305-adb3-79179704cffe,DPA3,137,4,7,11,0.400774,0.419605,0.263845,0.320485,picked=last-unconverged:P_P130N7_2dd91df6-6100-4305-adb3-79179704cffe_unrelaxed
P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988,DPA3,137,4,7,11,0.381213,0.532401,0.335859,0.407329,picked=last-unconverged:P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988_unrelaxed
P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c,DPA3,138,4,6,10,0.376083,0.746689,0.138445,0.381743,picked=last-unconverged:P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c_unrelaxed
P_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2,DPA3,139,4,5,9,0.175090,0.195914,0.059546,0.120154,picked=converged:P_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2_unrelaxed
P_P134N2_7d818b15-98d7-46a0-8001-037c616cfa2c,DPA3,136,2,6,8,0.364006,0.101547,0.570871,0.453540,picked=last-unconverged:P_P134N2_7d818b15-98d7-46a0-8001-037c616cfa2c_unrelaxed
P_P134N3_0bbe3973-1534-431a-8cd6-f17dd0ee3b7a,DPA3,137,3,7,10,0.391008,0.235421,0.135604,0.165549,picked=last-unconverged:P_P134N3_0bbe3973-1534-431a-8cd6-f17dd0ee3b7a_unrelaxed
P_P134N3_bdc16de1-0e53-494f-a5e7-3c84bce2ac04,DPA3,137,3,7,10,0.257218,0.199363,0.289437,0.262415,picked=converged:P_P134N3_bdc16de1-0e53-494f-a5e7-3c84bce2ac04_unrelaxed
P_P134N3_dda7d839-bc4d-48cb-a66f-1ba5db069526,DPA3,137,3,7,10,0.314349,0.388872,0.212450,0.265377,picked=converged:P_P134N3_dda7d839-bc4d-48cb-a66f-1ba5db069526_unrelaxed
P_P134N4_6e5f359b-6e75-4487-8517-24b248721bf2,DPA3,138,4,6,10,0.129863,0.094804,0.083416,0.087971,picked=converged:P_P134N4_6e5f359b-6e75-4487-8517-24b248721bf2_unrelaxed
P_P134N4_767a10da-c92d-4725-90de-c0a8f0de82ce,DPA3,138,4,6,10,0.294530,0.268401,0.254050,0.259790,picked=converged:P_P134N4_767a10da-c92d-4725-90de-c0a8f0de82ce_unrelaxed
P_P134N5_2fb2dac9-625b-4a58-8d71-1ab73a779346,DPA3,139,4,5,9,0.182940,0.367961,0.098367,0.218187,picked=last-unconverged:P_P134N5_2fb2dac9-625b-4a58-8d71-1ab73a779346_unrelaxed
