cif_id,model,n_atoms,n_local_subs,n_local_vacs,n_local_all,coord_mae_global_A,coord_mae_local_subs_A,coord_mae_local_vacs_A,coord_mae_local_all_A,notes
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,DPA3,135,4,9,13,0.210993,0.228468,0.241912,0.237776,picked=last-unconverged:P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc_unrelaxed
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,DPA3,135,4,8,12,0.233872,0.403888,0.594369,0.530875,picked=last-unconverged:P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62_unrelaxed
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,DPA3,135,4,8,12,0.362503,0.370763,0.726718,0.608066,picked=last-unconverged:P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4_unrelaxed
P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf,DPA3,135,4,9,13,0.162768,0.090072,0.108749,0.103002,picked=last-unconverged:P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf_unrelaxed
P_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170,DPA3,135,4,8,12,0.338538,0.334664,0.307925,0.316838,picked=last-unconverged:P_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170_unrelaxed
P_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5,DPA3,135,4,9,13,0.255488,0.163959,0.498031,0.395239,picked=last-unconverged:P_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5_unrelaxed
P_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb,DPA3,135,4,9,13,0.351386,0.422380,0.205402,0.272165,picked=converged:P_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb_unrelaxed
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,DPA3,135,4,8,12,0.312585,0.268112,0.282122,0.277452,picked=converged:P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39_unrelaxed
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,DPA3,135,4,9,13,0.247329,0.170173,0.171025,0.170763,picked=converged:P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d_unrelaxed
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,DPA3,135,4,8,12,0.252444,0.188604,0.289906,0.256139,picked=converged:P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d_unrelaxed
P_P130N6_ad4e8262-bfb5-49be-8679-a28ee4287eef,DPA3,136,4,7,11,0.126177,0.120447,0.201665,0.172131,picked=converged:P_P130N6_ad4e8262-bfb5-49be-8679-a28ee4287eef_unrelaxed
P_P130N6_ee74078f-bc7a-4330-a46a-c9964d4dabd2,DPA3,136,4,8,12,0.192110,0.167187,0.188348,0.181294,picked=converged:P_P130N6_ee74078f-bc7a-4330-a46a-c9964d4dabd2_unrelaxed
P_P130N7_2dd91df6-6100-4305-adb3-79179704cffe,DPA3,137,4,7,11,0.378997,0.393455,0.219065,0.282480,picked=last-unconverged:P_P130N7_2dd91df6-6100-4305-adb3-79179704cffe_unrelaxed
P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988,DPA3,137,4,7,11,0.331447,0.450487,0.308319,0.360017,picked=last-unconverged:P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988_unrelaxed
P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c,DPA3,138,4,6,10,0.361354,0.540501,0.186338,0.328003,picked=last-unconverged:P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c_unrelaxed
P_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2,DPA3,139,4,5,9,0.159722,0.175903,0.034888,0.097561,picked=converged:P_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2_unrelaxed
P_P134N2_7d818b15-98d7-46a0-8001-037c616cfa2c,DPA3,136,2,6,8,0.366101,0.074479,0.564642,0.442101,picked=last-unconverged:P_P134N2_7d818b15-98d7-46a0-8001-037c616cfa2c_unrelaxed
