cif_id,model,n_atoms,n_local_subs,n_local_vacs,n_local_all,coord_mae_global_A,coord_mae_local_subs_A,coord_mae_local_vacs_A,coord_mae_local_all_A,notes
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,DPA3,135,4,9,13,0.200525,0.287747,0.081733,0.145122,picked=last-unconverged:P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc_unrelaxed
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,DPA3,135,4,8,12,0.232074,0.240108,0.676548,0.531068,picked=last-unconverged:P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62_unrelaxed
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,DPA3,135,4,8,12,0.361727,0.214763,0.241314,0.232463,picked=last-unconverged:P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4_unrelaxed
P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf,DPA3,135,4,9,13,0.174403,0.197615,0.229610,0.219765,picked=last-unconverged:P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf_unrelaxed
P_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170,DPA3,135,4,8,12,0.340330,0.340070,0.377365,0.364934,picked=last-unconverged:P_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170_unrelaxed
P_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5,DPA3,135,4,9,13,0.294884,0.142104,0.542922,0.419593,picked=last-unconverged:P_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5_unrelaxed
P_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb,DPA3,135,4,9,13,0.349050,0.246471,0.216893,0.225994,picked=converged:P_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb_unrelaxed
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,DPA3,135,4,8,12,0.275724,0.397980,0.151169,0.233439,picked=converged:P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39_unrelaxed
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,DPA3,135,4,9,13,0.250017,0.187362,0.155136,0.165051,picked=converged:P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d_unrelaxed
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,DPA3,135,4,8,12,0.251992,0.348078,0.399213,0.382168,picked=converged:P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d_unrelaxed
