cif_id,sysname,model,n_atoms,E_model_on_RDFT_eV,E_DFT_eV,energy_abs_err_meV_per_atom,force_mae_mag_eVA,force_rmse_mag_eVA,force_cos_alignment,force_mae_percomp_eVA
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,BP_spin_500_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc_DFTfinal,DPA3-OMAT,135,-733.255127671535,-733.02720645,1.688305344703588,0.07538332711478404,0.0909207027982434,0.08817044417769387,0.03795627467604938
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,BP_spin_500_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62_DFTfinal,DPA3-OMAT,135,-735.789634510303,-736.36911471,4.292445923681077,0.0695519518507816,0.0863233644515876,0.07936302153041201,0.03482218542222222
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,BP_spin_500_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4_DFTfinal,DPA3-OMAT,135,-731.77937561589,-731.56949287,1.5546870065926905,0.08382046838342301,0.10650828088787333,0.18744997795233626,0.04211413157037037
P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf,BP_spin_500_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf_DFTfinal,DPA3-OMAT,135,-734.377127851719,-734.99282929,4.56075139467413,0.07761562289943462,0.1026999073311267,0.173735994992587,0.03869242124172839
P_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170,BP_spin_500_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170_DFTfinal,DPA3-OMAT,135,-732.823318823601,-733.53484445,5.2705601955486365,0.08008584139844788,0.10143610230609983,0.434607216540137,0.03914554360567901
P_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5,BP_spin_500_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5_DFTfinal,DPA3-OMAT,135,-734.37986813801,-735.57761524,8.872200755481403,0.07981997899929852,0.09606690516425331,-0.0392958870772559,0.03942595102691358
P_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb,BP_spin_500_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb_DFTfinal,DPA3-OMAT,135,-725.67502071416,-726.66980601,7.368779969184895,0.06498897625936903,0.08830928307186413,-0.12052213773773121,0.032676081619753085
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,BP_spin_500_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39_DFTfinal,DPA3-OMAT,135,-724.681482081171,-724.53594898,1.0780229716374379,0.056437646657504455,0.06588688742606547,-0.008640345809106864,0.028457594463703707
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,BP_spin_500_P130N5_73b92a80-edba-4628-aa33-53087cf4717d_DFTfinal,DPA3-OMAT,135,-724.333233498838,-725.05335368,5.33422356416277,0.06498968221978758,0.08044016587168432,-0.012915627100455426,0.03254072435728395
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,BP_spin_500_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d_DFTfinal,DPA3-OMAT,135,-724.218000848647,-724.60245667,2.847820898911643,0.06278705780913185,0.07480658402183529,-0.019606589955691662,0.03167301710641975
P_P130N6_ad4e8262-bfb5-49be-8679-a28ee4287eef,BP_spin_500_P130N6_ad4e8262-bfb5-49be-8679-a28ee4287eef_DFTfinal,DPA3-OMAT,136,-735.229799390081,-736.36033888,8.312790367051381,0.049434711251123205,0.05668285989605955,0.0428709514815096,0.025225861511029412
P_P130N6_ee74078f-bc7a-4330-a46a-c9964d4dabd2,BP_spin_500_P130N6_ee74078f-bc7a-4330-a46a-c9964d4dabd2_DFTfinal,DPA3-OMAT,136,-734.081026580426,-734.67550145,4.371138746866918,0.045626044776132586,0.0510307628569459,-0.05274114214042152,0.022996661340686276
P_P130N7_2dd91df6-6100-4305-adb3-79179704cffe,BP_spin_500_P130N7_2dd91df6-6100-4305-adb3-79179704cffe_DFTfinal,DPA3-OMAT,137,-741.693543076198,-741.8432598,1.0928228014747723,0.054381727951741496,0.06782852340511554,0.0068112835223997385,0.026659823355717756
P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988,BP_spin_500_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988_DFTfinal,DPA3-OMAT,137,-739.762132532577,-740.29589264,3.8960591782705354,0.06926744215931863,0.08762215985947217,-0.04624369334916476,0.03449728615571776
P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c,BP_spin_500_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c_DFTfinal,DPA3-OMAT,138,-748.440736957881,-748.88124815,3.1921100878192825,0.06843115426607098,0.08708934976414408,0.2314092440001908,0.03416125688910628
P_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2,BP_spin_500_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2_DFTfinal,DPA3-OMAT,139,-757.500204222704,-757.22999841,1.9439267101009678,0.06505535363701918,0.0803165973825517,-0.020099611175664528,0.03280228140047961
P_P134N2_7d818b15-98d7-46a0-8001-037c616cfa2c,BP_spin_500_P134N2_7d818b15-98d7-46a0-8001-037c616cfa2c_DFTfinal,DPA3-OMAT,136,-724.447210849945,-724.62419005,1.3013176474634534,0.05908575366215702,0.07290439069549456,0.056531685660460476,0.029402287115196078
P_P134N3_0bbe3973-1534-431a-8cd6-f17dd0ee3b7a,BP_spin_500_P134N3_0bbe3973-1534-431a-8cd6-f17dd0ee3b7a_DFTfinal,DPA3-OMAT,137,-734.595006057185,-735.94511828,9.854833743175387,0.04467078477287203,0.05523842053000239,0.17052652041523758,0.022206460211678835
P_P134N3_bdc16de1-0e53-494f-a5e7-3c84bce2ac04,BP_spin_500_P134N3_bdc16de1-0e53-494f-a5e7-3c84bce2ac04_DFTfinal,DPA3-OMAT,137,-732.562086989295,-732.81584272,1.852231610984951,0.04685588429286949,0.05771097312105719,-0.012706881125696037,0.02301408924087591
P_P134N3_dda7d839-bc4d-48cb-a66f-1ba5db069526,BP_spin_500_P134N3_dda7d839-bc4d-48cb-a66f-1ba5db069526_DFTfinal,DPA3-OMAT,137,-732.374685562339,-732.86983133,3.6142026836571453,0.04584788152924515,0.056275892288653706,0.0016276479015943377,0.022990643517518245
P_P134N4_6e5f359b-6e75-4487-8517-24b248721bf2,BP_spin_500_P134N4_6e5f359b-6e75-4487-8517-24b248721bf2_DFTfinal,DPA3-OMAT,138,-740.550049476821,-741.27972253,5.287485892601442,0.05039695282690561,0.07304519499807734,-0.042546227372254795,0.025194346642753624
P_P134N4_767a10da-c92d-4725-90de-c0a8f0de82ce,BP_spin_500_P134N4_767a10da-c92d-4725-90de-c0a8f0de82ce_DFTfinal,DPA3-OMAT,138,-740.933470018704,-741.1444366,1.5287433427239603,0.04101873463727341,0.04606387448088997,0.09784852556095427,0.02036439499758454
P_P134N5_2fb2dac9-625b-4a58-8d71-1ab73a779346,BP_spin_500_P134N5_2fb2dac9-625b-4a58-8d71-1ab73a779346_DFTfinal,DPA3-OMAT,139,-749.693653974619,-750.60629783,6.565783132237557,0.04760029784768004,0.05696794508362957,0.17962048137033756,0.023651722325419667
P_P134N6_830832b7-0dd2-4f20-b337-b06a84de9d62,BP_spin_500_P134N6_830832b7-0dd2-4f20-b337-b06a84de9d62_DFTfinal,DPA3-OMAT,140,-757.758633713547,-758.24109984,3.4461866175206524,0.04151751825084249,0.05289537618931506,0.05931800582701331,0.020391177758095236
P_P134N7_618fa7fd-b549-4eda-a5a2-2091f6fae7ba,BP_spin_500_P134N7_618fa7fd-b549-4eda-a5a2-2091f6fae7ba_DFTfinal,DPA3-OMAT,141,-767.225251859736,-768.11628177,6.319361065702297,0.03971805373811133,0.04816119664588599,0.07020296282271818,0.020114536769030727
