cif_id,sysname,model,n_atoms,E_model_on_RDFT_eV,E_DFT_eV,energy_abs_err_meV_per_atom,force_mae_mag_eVA,force_rmse_mag_eVA,force_cos_alignment,force_mae_percomp_eVA
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,BP_spin_500_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc_DFTfinal,MACE-OMAT,135,-733.490728169548,-733.02720645,3.4334942188740603,0.048486309559833206,0.05826152511382109,0.13978040597149363,0.024453990196548148
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,BP_spin_500_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62_DFTfinal,MACE-OMAT,135,-735.7521986743,-736.36911471,4.5697484125926,0.06583255620048128,0.09795017895072808,0.010437069790178324,0.03278047402222222
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,BP_spin_500_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4_DFTfinal,MACE-OMAT,135,-732.445962408063,-731.56949287,6.492366948614964,0.05397696129940687,0.0694897333571058,0.023324793153214594,0.02671855775308642
P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf,BP_spin_500_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf_DFTfinal,MACE-OMAT,135,-734.299988577395,-734.99282929,5.13215342670416,0.06342545707854266,0.09089079739139055,0.13096296940058832,0.03172791294814815
P_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170,BP_spin_500_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170_DFTfinal,MACE-OMAT,135,-733.390642074252,-733.53484445,1.0681657462816507,0.06685532530426655,0.10188871729212255,0.3037573216382807,0.03389444263283951
P_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5,BP_spin_500_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5_DFTfinal,MACE-OMAT,135,-734.687107667198,-735.57761524,6.59635239112588,0.07308933599649577,0.10460071167221524,0.13892179644237324,0.03613912497234568
P_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb,BP_spin_500_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb_DFTfinal,MACE-OMAT,135,-726.13846569207,-726.66980601,3.9358542068890126,0.045005050746731355,0.061049613402650894,-0.11474560223873223,0.023076676917901235
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,BP_spin_500_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39_DFTfinal,MACE-OMAT,135,-725.246507373807,-724.53594898,5.263395509682259,0.029584426136569742,0.03679342302972132,-0.009747863494097224,0.014847947203209875
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,BP_spin_500_P130N5_73b92a80-edba-4628-aa33-53087cf4717d_DFTfinal,MACE-OMAT,135,-724.872987605572,-725.05335368,1.3360449957628118,0.05418831868934504,0.07081060240418954,-0.13944491694798747,0.026971221089925928
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,BP_spin_500_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d_DFTfinal,MACE-OMAT,135,-724.918372105623,-724.60245667,2.34011433794792,0.04229182801218565,0.05244031895875865,-0.05531365409859317,0.021287623682962966
