system_id,structure,vac_site_144,neighbor_site_144,hop_label,event_type,d_NV_init_A,d_NV_final_A,d_init_A,d_fin_A,hops_init,hops_fin,is_nearN_init,is_nearN_final,is_escape,split
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,4,40,AC,nearN_hop,2,1,3.528020447903467,2.2204857376245615,2,1,False,True,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,4,112,AC,AC_hop,2,3,3.528020447903467,5.4460247163768765,2,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,4,142,ZZ,ZZ_hop,2,3,3.528020447903467,4.3324043296789085,2,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,36,0,AC,AC_hop,3,2,3.998155070138965,3.2999180659983582,3,2,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,36,72,ZZ,ZZ_hop,3,3,3.998155070138965,5.850285876942337,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,41,107,AC,AC_hop,3,3,6.306585375490028,4.600926092018515,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,41,5,AC,AC_hop,3,3,6.306585375490028,5.661976699574023,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,41,77,ZZ,ZZ_hop,3,3,6.306585375490028,5.661976584178361,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,74,44,AC,AC_hop,3,3,7.845504249542021,5.661976584178365,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,74,109,AC,AC_hop,3,3,7.845504249542021,7.845504249542021,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,74,38,ZZ,ZZ_hop,3,3,7.845504249542021,7.890294905869196,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,75,45,AC,AC_hop,3,2,5.168121006926142,3.2999178680032806,3,2,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,75,110,AC,AC_hop,3,3,5.168121006926142,5.850285985493547,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,75,39,ZZ,ZZ_hop,3,3,5.168121006926142,3.524930469142789,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,93,63,AC,AC_hop,3,2,5.168121006926142,3.528020267900087,3,2,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,93,57,ZZ,ZZ_hop,3,2,5.168121006926142,3.29991806599836,3,2,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,102,143,AC,AC_hop,2,3,3.5280203604969937,3.524930805766922,2,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,102,66,ZZ,nearN_hop,2,1,3.5280203604969937,2.2573844870946482,2,1,False,True,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,128,20,AC,AC_hop,3,3,5.6619766995740255,5.4460248363483394,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,128,26,ZZ,ZZ_hop,3,3,5.6619766995740255,4.600925815962959,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,139,104,AC,AC_hop,3,3,5.1681210069261425,5.850285876942337,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,139,31,AC,AC_hop,3,2,5.1681210069261425,3.29991786800328,3,2,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,base,139,1,ZZ,ZZ_hop,3,3,5.1681210069261425,5.661976699574024,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,4,40,AC,nearN_hop,2,1,3.528020447903467,2.2204857376245615,2,1,False,True,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,4,112,AC,AC_hop,2,3,3.528020447903467,5.4460247163768765,2,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,4,142,ZZ,ZZ_hop,2,3,3.528020447903467,4.3324043296789085,2,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,36,0,AC,AC_hop,3,2,3.998155070138965,3.2999180659983582,3,2,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,36,72,ZZ,ZZ_hop,3,3,3.998155070138965,5.850285876942337,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,41,107,AC,AC_hop,3,3,6.306585375490028,4.600926092018515,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,41,5,AC,AC_hop,3,3,6.306585375490028,5.661976699574023,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,41,77,ZZ,ZZ_hop,3,3,6.306585375490028,5.661976584178361,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,74,44,AC,AC_hop,3,3,7.845504249542021,5.661976584178365,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,74,109,AC,AC_hop,3,3,7.845504249542021,7.845504249542021,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,74,38,ZZ,ZZ_hop,3,3,7.845504249542021,7.890294905869196,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,75,45,AC,AC_hop,3,2,5.168121006926142,3.2999178680032806,3,2,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,75,110,AC,AC_hop,3,3,5.168121006926142,5.850285985493547,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,75,39,ZZ,ZZ_hop,3,3,5.168121006926142,3.524930469142789,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,93,63,AC,AC_hop,3,2,5.168121006926142,3.528020267900087,3,2,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,93,57,ZZ,ZZ_hop,3,2,5.168121006926142,3.29991806599836,3,2,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,102,143,AC,AC_hop,2,3,3.5280203604969937,3.524930805766922,2,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,102,66,ZZ,nearN_hop,2,1,3.5280203604969937,2.2573844870946482,2,1,False,True,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,128,20,AC,AC_hop,3,3,5.6619766995740255,5.4460248363483394,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,128,26,ZZ,ZZ_hop,3,3,5.6619766995740255,4.600925815962959,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,139,104,AC,AC_hop,3,3,5.1681210069261425,5.850285876942337,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,139,31,AC,AC_hop,3,2,5.1681210069261425,3.29991786800328,3,2,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,ft,139,1,ZZ,ZZ_hop,3,3,5.1681210069261425,5.661976699574024,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,4,40,AC,nearN_hop,2,1,3.528020447903467,2.2204857376245615,2,1,False,True,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,4,112,AC,AC_hop,2,3,3.528020447903467,5.4460247163768765,2,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,4,142,ZZ,ZZ_hop,2,3,3.528020447903467,4.3324043296789085,2,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,36,0,AC,AC_hop,3,2,3.998155070138965,3.2999180659983582,3,2,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,36,72,ZZ,ZZ_hop,3,3,3.998155070138965,5.850285876942337,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,41,107,AC,AC_hop,3,3,6.306585375490028,4.600926092018515,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,41,5,AC,AC_hop,3,3,6.306585375490028,5.661976699574023,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,41,77,ZZ,ZZ_hop,3,3,6.306585375490028,5.661976584178361,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,74,44,AC,AC_hop,3,3,7.845504249542021,5.661976584178365,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,74,109,AC,AC_hop,3,3,7.845504249542021,7.845504249542021,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,74,38,ZZ,ZZ_hop,3,3,7.845504249542021,7.890294905869196,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,75,45,AC,AC_hop,3,2,5.168121006926142,3.2999178680032806,3,2,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,75,110,AC,AC_hop,3,3,5.168121006926142,5.850285985493547,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,75,39,ZZ,ZZ_hop,3,3,5.168121006926142,3.524930469142789,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,93,63,AC,AC_hop,3,2,5.168121006926142,3.528020267900087,3,2,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,93,57,ZZ,ZZ_hop,3,2,5.168121006926142,3.29991806599836,3,2,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,102,143,AC,AC_hop,2,3,3.5280203604969937,3.524930805766922,2,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,102,66,ZZ,nearN_hop,2,1,3.5280203604969937,2.2573844870946482,2,1,False,True,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,128,20,AC,AC_hop,3,3,5.6619766995740255,5.4460248363483394,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,128,26,ZZ,ZZ_hop,3,3,5.6619766995740255,4.600925815962959,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,139,104,AC,AC_hop,3,3,5.1681210069261425,5.850285876942337,3,3,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,139,31,AC,AC_hop,3,2,5.1681210069261425,3.29991786800328,3,2,False,False,False,test
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,dft,139,1,ZZ,ZZ_hop,3,3,5.1681210069261425,5.661976699574024,3,3,False,False,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,3,111,AC,AC_hop,2,2,3.2999180659983582,3.528020360496992,2,2,False,False,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,3,39,AC,AC_hop,2,3,3.2999180659983582,3.524930469142789,2,3,False,False,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,3,141,ZZ,nearN_hop,2,1,3.2999180659983582,2.220485884747222,2,1,False,True,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,21,57,AC,AC_hop,2,3,3.2999180659983587,3.5249304691427894,2,3,False,False,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,21,129,AC,nearN_hop,2,1,3.2999180659983587,2.220485884747222,2,1,False,True,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,21,123,ZZ,ZZ_hop,2,3,3.2999180659983587,3.9981549067217084,2,3,False,False,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,40,4,AC,trap_escape,1,2,2.2204857376245615,3.2999180659983582,1,2,True,False,True,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,40,76,ZZ,nearN_hop,1,1,2.2204857376245615,2.2204858847472195,1,1,True,True,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,49,13,AC,AC_hop,3,3,8.819505607519416,8.382559739795207,3,3,False,False,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,49,79,AC,AC_hop,3,3,8.819505607519416,7.894780657596505,3,3,False,False,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,49,85,ZZ,ZZ_hop,3,3,8.819505607519416,8.819505535513612,3,3,False,False,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,71,35,AC,trap_escape,1,2,2.2204857376245672,3.528020267900087,1,2,True,False,True,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,71,107,ZZ,trap_escape,1,2,2.2204857376245672,3.2999180659983622,1,2,True,False,True,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,100,70,AC,nearN_hop,2,1,3.2999180659983587,2.2204858847472195,2,1,False,True,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,100,135,AC,nearN_hop,2,1,3.2999180659983587,2.2204857376245646,2,1,False,True,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,100,64,ZZ,nearN_hop,2,1,3.2999180659983587,2.2204858847472195,2,1,False,True,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,104,38,AC,trap_escape,1,2,2.2573844870946473,3.528020267900084,1,2,True,False,True,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,104,68,ZZ,trap_escape,1,2,2.2573844870946473,3.5280203604969937,1,2,True,False,True,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,118,10,AC,nearN_hop,2,1,3.5280204479034682,2.2573845866954785,2,1,False,True,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,118,83,AC,AC_hop,2,3,3.5280204479034682,3.5249307130888514,2,3,False,False,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,118,16,ZZ,ZZ_hop,2,3,3.5280204479034682,3.9981549629569924,2,3,False,False,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,120,12,AC,AC_hop,3,3,8.38255973979521,9.899753999999998,3,3,False,False,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,120,85,AC,AC_hop,3,3,8.38255973979521,8.819505535513612,3,3,False,False,False,test
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,base,120,18,ZZ,ZZ_hop,3,3,8.38255973979521,6.599835934001641,3,3,False,False,False,test
