shard_name,event_pair_key,system_id,model_tag,structure,split,event_type,vac_site_144,neighbor_site_144,site_a,site_b,moving_atom_index_0based,moving_atom_element,basin_check_classification,basin_check_reason,basin_trace_classification,basin_trace_reason,preferred_classification,ready_for_neb,has_model_pair,paired_model_tag,paired_preferred_classification,paired_ready_for_neb,both_models_ready_for_neb,either_model_ready_for_neb,both_models_different_basin,traj_available,nframes,tail_window_used
endpoint_relax__finetuned__tier1_event_list_graph_topo_n2nn_formal_v1__shard_001_of_022,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__102__143,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,finetuned,ft,test,AC_hop,102,143,102,143,125,P,different_basin,moving atom remained near target site_a,different_basin,tail frames stabilized near target site_a,different_basin,True,True,foundation,different_basin,True,True,True,True,True,122,8
endpoint_relax__finetuned__tier1_event_list_graph_topo_n2nn_formal_v1__shard_001_of_022,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__102__66,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,finetuned,ft,test,nearN_hop,102,66,102,66,57,P,ambiguous,moving atom is not close to either site_a or site_b,other_basin,tail frames stabilized away from both site_a and site_b,other_basin,False,True,foundation,other_basin,False,False,False,False,True,129,8
endpoint_relax__finetuned__tier1_event_list_graph_topo_n2nn_formal_v1__shard_001_of_022,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__128__20,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,finetuned,ft,test,AC_hop,128,20,128,20,19,P,ambiguous,moving atom is not close to either site_a or site_b,other_basin,tail frames stabilized away from both site_a and site_b,other_basin,False,True,foundation,other_basin,False,False,False,False,True,85,8
endpoint_relax__finetuned__tier1_event_list_graph_topo_n2nn_formal_v1__shard_001_of_022,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__128__26,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,finetuned,ft,test,ZZ_hop,128,26,128,26,24,P,different_basin,moving atom remained near target site_a,different_basin,tail frames stabilized near target site_a,different_basin,True,True,foundation,other_basin,False,False,True,False,True,73,8
endpoint_relax__finetuned__tier1_event_list_graph_topo_n2nn_formal_v1__shard_001_of_022,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__139__104,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,finetuned,ft,test,AC_hop,139,104,139,104,91,P,different_basin,moving atom remained near target site_a,different_basin,tail frames stabilized near target site_a,different_basin,True,True,foundation,different_basin,True,True,True,True,True,111,8
endpoint_relax__finetuned__tier1_event_list_graph_topo_n2nn_formal_v1__shard_001_of_022,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__139__1,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,finetuned,ft,test,ZZ_hop,139,1,139,1,1,P,ambiguous,moving atom is not close to either site_a or site_b,other_basin,tail frames stabilized away from both site_a and site_b,other_basin,False,True,foundation,different_basin,True,False,True,False,True,93,8
endpoint_relax__finetuned__tier1_event_list_graph_topo_n2nn_formal_v1__shard_001_of_022,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__139__31,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,finetuned,ft,test,AC_hop,139,31,139,31,28,P,ambiguous,moving atom is not close to either site_a or site_b,other_basin,tail frames stabilized away from both site_a and site_b,other_basin,False,True,foundation,different_basin,True,False,True,False,True,138,8
endpoint_relax__finetuned__tier1_event_list_graph_topo_n2nn_formal_v1__shard_001_of_022,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__36__0,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,finetuned,ft,test,AC_hop,36,0,36,0,0,P,ambiguous,moving atom is not close to either site_a or site_b,other_basin,tail frames stabilized away from both site_a and site_b,other_basin,False,True,foundation,different_basin,True,False,True,False,True,91,8
endpoint_relax__finetuned__tier1_event_list_graph_topo_n2nn_formal_v1__shard_001_of_022,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__36__72,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,finetuned,ft,test,ZZ_hop,36,72,36,72,63,P,same_basin,moving atom relaxed back near original site_b,same_basin,tail frames stabilized near original site_b,same_basin,False,True,foundation,different_basin,True,False,True,False,True,72,8
endpoint_relax__finetuned__tier1_event_list_graph_topo_n2nn_formal_v1__shard_001_of_022,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__41__107,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,finetuned,ft,test,AC_hop,41,107,41,107,93,P,ambiguous,moving atom is not close to either site_a or site_b,other_basin,tail frames stabilized away from both site_a and site_b,other_basin,False,True,foundation,different_basin,True,False,True,False,True,79,8
