event_pair_key,has_endpoint_relax,has_dft_neb
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__139__104,True,False
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__74__109,True,True
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__71__107,True,True
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4__37__1,True,True
P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf__56__20,True,True
P_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb__131__90,True,True
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39__119__11,True,True
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__115__80,True,True
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__134__32,True,True
P_P130N6_ad4e8262-bfb5-49be-8679-a28ee4287eef__126__24,True,False
P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c__6__114,True,True
P_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2__120__85,True,True
P_P134N3_0bbe3973-1534-431a-8cd6-f17dd0ee3b7a__0__138,True,True
P_P134N3_dda7d839-bc4d-48cb-a66f-1ba5db069526__38__74,True,True
P_P134N4_6e5f359b-6e75-4487-8517-24b248721bf2__124__89,True,True
P_P134N8_77084258-796b-405c-8b5a-17d19cee3337__82__46,True,True
P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346__75__39,True,True
P_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792__130__95,True,False
P_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792__74__109,True,True
P_P137N2_57c8cd82-a352-42c5-bdff-8d5b28abd541__114__12,True,True
P_P137N2_57c8cd82-a352-42c5-bdff-8d5b28abd541__67__103,True,True
P_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c__10__112,True,True
P_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c__10__118,True,True
P_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c__62__98,True,False
P_P137N4_06c3f239-33bb-44df-8e03-5bd0614c77df__22__58,True,True
P_P137N4_45d7c27d-f7cb-443f-93fd-622d98716a8c__5__113,True,True
P_P141N1_801ae4a4-5b4a-4480-bf01-dbe9c0f9df3b__68__104,True,False
P_P141N1_801ae4a4-5b4a-4480-bf01-dbe9c0f9df3b__68__98,True,False
