system_id,energy_eV,volume_A3,fmax_eV_per_A
P,-772.0472413,10931.528537328964,0.019033885556685476
P_P134N5_a31ed8c7-1605-4f5d-bd26-e5843611b232,-749.53236905,10931.541544,0.14666776430480455
P_P126N9_1fa6f41e-505c-4e2a-8ba7-c3c6443fab8e,-735.20624946,10931.541544,0.1377723194862179
P_P137N2_aad53440-3b76-426e-86f1-2236f98d3e43,-742.85164296,10931.541544,0.1501830367197361
P_P130N6_ba791020-e5c2-4b19-8d8d-c8121118f779,-733.28886147,10931.541544,0.20953285216079912
P_P137N4_75682765-03e7-4858-9f32-c42202c85a99,-761.20672762,10931.541544,0.04150923349902766
P_P141N1_f0b75ece-03f7-46c2-8bc0-1973294e096d,-759.59418863,10931.541544,0.0620446493386545
P_P134N5_aaa1614d-2055-467f-8b81-2ee6d2079f7d,-749.55556941,10931.541544,0.15824115766108765
P_P134N6_a6b45668-5d73-402a-a930-bed430880c8c,-759.55379211,10931.541544,0.04297338923854273
P_P134N2_b92a129c-f235-49ff-9d7a-17762d5bc989,-724.93781772,10931.541544,0.167449252886396
P_P130N9_e2c5c376-7257-4338-943d-2bf5966c3069,-758.72449532,10931.541544,0.08098567860515153
P_P134N1_c9de04e1-bbe0-4d3f-a80f-5fbc20ee4341,-717.33376559,10931.541544,0.24044410125865553
P_P134N5_65de94d6-bf47-4f7d-b5c8-e46f3ee6411d,-750.12952805,10931.541544,0.26788556542099334
P_P134N4_461e2c63-a6ef-4683-9fd5-c7ca0df15ce2,-742.07790644,10931.541544,0.1355383656953392
P_P137N5_ae9ec94c-b37c-4051-b67d-a45e48fef13a,-768.43353624,10931.541544,0.11843517527785444
P_P130N6_de7d770b-cec9-4f6e-8f95-aed0f319626d,-732.23688006,10931.541544,0.1282445844748795
P_P134N7_5c681082-42e5-4bc2-acf1-b232e2db46cc,-767.06047939,10931.541544,0.159990966163815
P_P137N4_3904a9b6-3627-4562-8220-8af78f431b6c,-759.87977625,10931.541544,0.19495332826200656
P_P126N9_7e089551-95a4-43b8-bd0b-5c8c686dbadf,-733.83345496,10931.541544,0.16312478174473122
P_P130N7_67067a32-129b-4042-85a1-9b1472951f67,-741.48101587,10931.541544,0.12671726760499258
P_P134N8_7d0f0dba-f643-4814-a7f7-d75dc3186f5a,-775.68282245,10931.541544,0.10851231722265725
P_P134N7_02381019-d5d0-4d7d-b881-18b484da501e,-766.77304151,10931.541544,0.17184192012123264
P_P141N2_24cbcb02-7eee-4a28-a1ef-54efe7f6deec,-769.6212068,10931.541544,0.1288509988639906
P_P134N3_a583a5c5-7ee5-4059-8db9-de8f911cc29a,-733.3138164,10931.541544,0.1306468781801896
P_P134N3_a677e9e4-ac2d-46cf-a2b1-1d38f6e11e89,-734.1233742,10931.541544,0.10151331388409356
P_P141_ca1f2bf6-6047-42a7-8ed6-287e8e33ea17,-750.88969171,10931.541544,0.10451833528869373
P_P126N9_ce9b0273-a766-430e-ae8b-6fd28920999e,-734.37134736,10931.541544,0.12229334839381331
P_P141N1_01bbc325-f6d9-4b60-aff4-5922339c9f86,-760.28009508,10931.541544,0.13344555873399458
P_P134N4_3febdf35-4e17-4685-965c-0fbd755217de,-741.64138872,10931.541544,0.17820864461841687
